,,,,,,,,,,,,,,,,,,,,,,,,,,
State(SQM),Sanction Year,SQM I.C.,SQM_Grade,Status(SQM),Road_Length(SQM),District,Block,Road_name,Monitor Name(SQM),Inspection Date(SQM),Package(SQM),Start Chainage(SQM),End Chainage(SQM),Quality Arrangment(SQM),Attention To Quality(SQM),Geometrics(SQM),Base Course-Water Bound Macadam(SQM),,,Cross Drainage Works(SQM),,Road Furnitures And Markings(SQM),,Maintenance(SQM),Shoulders(SQM),pavement(SQM)
Uttar Pradesh,2021-2022,5,Satisfactory,Completed,5.0,Agra,Achhnera,MRL25-Raibha to Kirawali Achhnera Road via Dhanoli,Trivedi Ajay Kumar,22 Jun 2023,UP01103,0,5.0,2,1,1,2,,,2,,1,,0,1,2
Uttar Pradesh,2012-2013,7,Satisfactory,Maintenance,9.0,Agra,Bah,Nandgawan Kenjara -  UMretha Pinahat Road (NKUP),Irfan Mohammad,"
24 Feb 2019

",UP0156,0,9.0,2,2,2,2,,,2,,2,,1,1,1
Uttar Pradesh,2020-2021,4,Satisfactory,Maintenance,5.0,Agra,Bah,MRL18-Bah Bateswar Road to Nagla Ent,"SINGH RAJENDRA
",24 Nov 2023,UP0195,0,4.675,2,2,2,2,,,2,,2,,1,1,1
Uttar Pradesh,2016-2017,8,Satisfactory,Maintenance,5.2,Agra,Etmadpur,"ML06-Mohisinabad to Barhan via sarai Jairam

",Sharma Anil Kumar,31 Aug 2022,UP0179,0,5.155,2,2,2,2,,,2,,2,,1,1,1
Uttar Pradesh,2013-2014,6,Satisfactory,In Progress,5.85,Agra,Jagner,MRL05-C A T K Kasimpur Singaich to Dahagawan,"Garg Anil Kumar
","
11 May 2016

",UP172,0,5.85,1,2,1,2,,,2,,1,,2,2,2
Uttar Pradesh,2012-2013,6,Satisfactory,Maintenance,14.00,Agra,Pinahat,"Syahipura  -  Pidora Balai Road

",Irfan Mohammad,23 Feb 2019,"UP0162

",0,14,2,2,2,2,,,2,,2,,1,1,1
Uttar Pradesh,2012-2013,5,Satisfactory,Maintenance,11.15,Aligarh,Akrabad,Vijaygarh  -  Bhilawali Road  (0.00 TO 11.15 KM.),"Sharma Praveen Kumar
",20 Nov 2018,UP0254,0,11.15,2,2,2,2,,,2,,2,,1,1,1
Uttar Pradesh,2012-2013,6,Unsatisfactory,Maintenance,15.00,Aligarh,Akrabad,"Vijaygarh  -  Bhilawali Road  (11.15 TO 26.15 KM.)

",Sharma Praveen Kumar,22 Nov 2018,"UP0255
",0,15.0,2,2,2,2,,,2,,2,,1,1,0
Uttar Pradesh,2013-2014,5,Satisfactory,Maintenance,15.00,Aligarh,Atrauli,T02-Narona 12 No.to Barla,TOMAR RAVENDRA PAL SINGH,"
23 Jan 2021

",UP263,0,15,2,2,2,2,,,2,,2,,1,1,1
Uttar Pradesh,2016-2017,9,Satisfactory,Maintenance,8.20,Aligarh,Iglas,T06-Aligarh Mathura Road To Dokauli Via Jaitholi,Singh Munesh Pal,18 Sep 2023,UP268,0,8.2,2,2,2,2,,,2,,2,,1,1,1
,,,,,,,,,,"
",,,,,,,,,,,,,,,,
